Job Role,Question Number,Question,Answer
DevOps Engineer,1,"What is CI/CD, and what are the key benefits?","CI/CD (Continuous Integration/Continuous Delivery or Deployment) automates the software release process. Benefits include faster releases, improved code quality, reduced risk, and higher developer productivity."
DevOps Engineer,2,What is the difference between a container and a virtual machine (VM)?,"A VM emulates a full computer with its own guest OS, making it heavy but isolated. A container virtualizes the OS, sharing the host kernel and packaging only the application and its dependencies, making it lightweight and fast."
DevOps Engineer,3,What is Infrastructure as Code (IaC)? Name a tool you've used.,"IaC is managing infrastructure through code instead of manual processes. Benefits include consistency, speed, and version control. A popular tool is Terraform, which uses a declarative language to provision cloud resources."
DevOps Engineer,4,What is Kubernetes and what problem does it solve?,"Kubernetes (K8s) is a container orchestration platform. It automates the deployment, scaling, self-healing, and management of containerized applications at scale."
DevOps Engineer,5,Explain the difference between blue-green deployment and canary deployment.,"Blue-green involves two identical production environments; traffic is switched from the old (blue) to the new (green) all at once. Canary deployment rolls out the new version to a small subset of users first, then gradually to everyone, reducing risk."
DevOps Engineer,6,What is a Dockerfile?,"A Dockerfile is a text file with instructions for building a Docker image. It specifies the base image, copies application code, runs commands (like installing dependencies), and sets the default command for the container."
DevOps Engineer,7,How would you monitor a production application?,"Monitor the three pillars: 1. Metrics (Prometheus/Grafana) for performance numbers. 2. Logs (ELK Stack) for event records and debugging. 3. Traces (Jaeger) to track requests in a distributed system. Also, implement alerting (PagerDuty)."
DevOps Engineer,8,"What is Ansible, and what is it used for?","Ansible is an agentless configuration management tool. It uses YAML playbooks to automate tasks like software installation, configuration updates, and application deployment across multiple servers over SSH."
DevOps Engineer,9,How do you handle sensitive information like passwords or API keys in your configurations?,"Never hardcode secrets. Use a dedicated secrets management tool like AWS Secrets Manager, Azure Key Vault, or HashiCorp Vault. Applications fetch credentials from these services at runtime."
DevOps Engineer,10,Describe a time you had to troubleshoot a production outage.,"Use the STAR method: Situation (e.g., API returning 503 errors), Task (identify root cause and restore service), Action (systematically checked monitoring, logs, database; found a bad query; initiated a rollback), Result (service restored in X minutes, post-mortem led to new preventative tests)."
DevOps Engineer,11,Explain the concept of idempotency in configuration management.,"Idempotency means an operation has the same effect whether applied once or multiple times. In configuration management, it allows you to safely re-run scripts to enforce a desired state without unintended side effects."
DevOps Engineer,12,"What is a service mesh, and what problems does it solve?","A service mesh (e.g., Istio) is an infrastructure layer for managing service-to-service communication. It uses a ""sidecar"" proxy to provide observability, traffic management, and security (mTLS) without changing application code."
DevOps Engineer,13,How do you manage state in Terraform?,"Terraform uses a state file to track managed resources. For teams, this file should be stored in a remote backend (like AWS S3) with state locking (using DynamoDB) to prevent concurrent modifications."
DevOps Engineer,14,What is GitOps?,GitOps is a practice where a Git repository is the single source of truth for the desired state of your system. An agent (like Argo CD) automatically synchronizes the live state with the state defined in Git.
DevOps Engineer,15,Explain Chaos Engineering.,"Chaos Engineering is the practice of deliberately experimenting on a system by injecting failures (e.g., killing pods) to proactively find weaknesses and build confidence in its resilience."
DevOps Engineer,16,What is the difference between monitoring and observability?,"Monitoring tells you *whether* a system is working by tracking known metrics. Observability lets you ask arbitrary questions to understand *why* it's not working, especially for unknown failure modes."
DevOps Engineer,17,How would you secure a CI/CD pipeline?,"Secure a pipeline by: securing the source code (branch protection), scanning for vulnerabilities (SAST, SCA, container scanning), managing secrets with a vault, and applying the principle of least privilege to the pipeline's permissions."
DevOps Engineer,18,Describe a Kubernetes Pod and its lifecycle.,"A Pod is the smallest deployable unit in K8s, containing one or more containers that share network and storage. Its lifecycle phases are: Pending, Running, Succeeded, Failed, and Unknown."
DevOps Engineer,19,What are some key metrics to track for a Kubernetes cluster?,"Key K8s metrics include: Cluster-level (node status, resource allocation), Node-level (CPU/memory/disk usage), and Pod-level (CPU/memory usage, container restarts)."
DevOps Engineer,20,How do you balance the need for speed (fast releases) with the need for stability?,"Balance speed and stability via: high automation in the CI/CD pipeline, shifting security/quality checks left, using progressive delivery (canary releases), and investing in robust observability to quickly detect and resolve issues."
Software Engineer,1,What's the difference between an abstract class and an interface?,"The primary difference lies in purpose and implementation. An interface is a contract defining methods a class must implement, allowing multiple implementations. An abstract class is a blueprint providing a base implementation and abstract methods, allowing only single inheritance."
Software Engineer,2,Explain Big O notation. What is the time complexity of a binary search?,Big O notation describes the worst-case performance of an algorithm as the input size (n) grows. A binary search has a time complexity of O(log n) because it halves the search space with each step.
Software Engineer,3,What is a REST API?,"REST (Representational State Transfer) is an architectural style for designing networked applications. A REST API uses standard HTTP methods (GET, POST, PUT, DELETE) to perform operations on resources and is stateless."
Software Engineer,4,What's the difference between git merge and git rebase?,"`git merge` creates a new merge commit, preserving the history of both branches in a non-destructive way. `git rebase` re-writes history by placing the commits from one branch on top of another, creating a linear history."
Software Engineer,5,Explain the four core principles of Object-Oriented Programming (OOP).,1. Encapsulation: Bundling data and methods into a class. 2. Abstraction: Hiding complex details and showing only essential features. 3. Inheritance: Allowing a new class to derive properties from an existing class. 4. Polymorphism: Allowing objects of different classes to be treated as objects of a common superclass.
Software Engineer,6,What is a hash table (or hash map)?,"A hash table is a data structure storing key-value pairs. It uses a hash function to compute an index for a key, allowing for average O(1) time for insertion, deletion, and lookup."
Software Engineer,7,How do you prevent SQL injection?,"Use Prepared Statements (Parameterized Queries) to separate SQL code from user data. Also, use ORMs and sanitize all user input."
Software Engineer,8,What is the difference between a process and a thread?,"A process is an independent program instance with its own memory space. A thread is a unit of execution within a process that shares the process's memory space, making it more lightweight."
Software Engineer,9,Design a URL shortening service like Bitly.,"A high-level design involves: 1. A service that takes a long URL and generates a unique short alias. 2. A database (SQL or NoSQL) to store the short_key to long_url mapping. 3. When the short URL is accessed, the server performs an HTTP 301 redirect to the original URL. 4. Scale with load balancers, caching, and a sharded database."
Software Engineer,10,Tell me about a challenging technical problem you solved.,"Use the STAR method: Situation (context of the problem), Task (your responsibility), Action (specific steps you took, tools used), Result (quantifiable outcome of your actions)."
Software Engineer,11,What are the SOLID principles?,"SOLID principles are: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion. They aim to make software more understandable, flexible, and maintainable."
Software Engineer,12,Explain database indexing. What are its advantages and disadvantages?,"An index is a data structure that speeds up data retrieval on a table. Advantage: Faster SELECT queries. Disadvantages: Slower write operations (INSERT, UPDATE) and requires extra storage space."
Software Engineer,13,What is the difference between a monolithic and a microservices architecture?,"A monolith is a single, tightly-coupled application unit. Microservices break an application into smaller, independent services that communicate over APIs, allowing for independent scaling and deployment."
Software Engineer,14,"What is a message queue, and why would you use one?","A message queue (e.g., RabbitMQ, Kafka) enables asynchronous communication between services. It's used to decouple services, improve scalability by handling traffic spikes, and process long-running background tasks."
Software Engineer,15,Explain the CAP Theorem.,"The CAP Theorem states a distributed system can only provide two of three guarantees: Consistency, Availability, and Partition Tolerance. Since Partition Tolerance (P) is a must, the choice is between Consistency (CP) and Availability (AP)."
Software Engineer,16,What is the difference between concurrency and parallelism?,"Concurrency is when tasks make progress at the same time (e.g., via context switching on one core). Parallelism is when tasks execute simultaneously (e.g., on multiple cores)."
Software Engineer,17,What are design patterns? Give an example.,A design pattern is a reusable solution to a common software design problem. Example: The Singleton pattern ensures a class has only one instance and provides a global access point to it.
Software Engineer,18,Briefly explain how the internet works when you type a URL into your browser.,1. Browser performs a DNS lookup to get the IP address. 2. A TCP connection is established. 3. An HTTP/S request is sent to the server. 4. The server sends back an HTTP response with the page content. 5. The browser renders the page.
Software Engineer,19,"What is the ""this"" keyword in JavaScript?","The `this` keyword refers to the object that is currently executing the code. Its value is determined by how a function is called: as a method of an object, in the global scope, via an arrow function (lexical scope), or as an event handler."
Software Engineer,20,How do you handle code reviews and feedback on your code?,"View code reviews as a learning opportunity. Be open to feedback, avoid being defensive, ask questions to understand the reviewer's point, and engage in a respectful discussion to find the best solution."
UX/UI Designer,1,What is your design process?,"My process is iterative and follows five phases: 1. Empathize (user research, interviews). 2. Define (synthesize research into a clear problem statement). 3. Ideate (brainstorm solutions). 4. Prototype (create wireframes and interactive mockups). 5. Test (get user feedback on prototypes and iterate)."
UX/UI Designer,2,What's the difference between UX and UI design?,UX (User Experience) is about the overall feel of the product—how useful and usable it is. It involves research and information architecture. UI (User Interface) is about the look and feel—the visual design and interactive elements like buttons and colors.
UX/UI Designer,3,How do you conduct user research?,"I use a mix of methods depending on the need: Qualitative (interviews, usability tests) to understand the 'why', and Quantitative (surveys, A/B tests, analytics) to understand the 'how many'."
UX/UI Designer,4,Can you name a few of Jakob Nielsen's 10 Usability Heuristics?,1. Visibility of system status (show users what's happening). 2. Match between system and the real world (use familiar language). 3. User control and freedom (provide an 'undo' or 'exit'). 4. Consistency and standards. 5. Error prevention.
UX/UI Designer,5,How do you handle negative feedback on your designs?,"I listen actively without getting defensive, separate myself from the work, and ask questions to understand the 'why' behind the feedback. I then synthesize all feedback to find patterns and prioritize changes based on user impact."
UX/UI Designer,6,"What's the difference between a wireframe, a mockup, and a prototype?","Wireframe is a low-fidelity blueprint focusing on structure. Mockup is a high-fidelity static visual of what it will look like. Prototype is a high-fidelity, interactive simulation of how it will work and feel."
UX/UI Designer,7,How do you ensure your designs are accessible?,"By integrating it into my process: ensuring high color contrast, using proper semantic structure for screen readers, ensuring keyboard navigability, providing clear labels, and designing visible focus states."
UX/UI Designer,8,How do you collaborate with developers and Product Managers?,"With PMs, I'm a strategic partner, collaborating on goals and roadmap. With Developers, I involve them early for feasibility feedback and provide detailed design specs and a design system for a smooth handoff."
UX/UI Designer,9,Walk me through a project from your portfolio that you're proud of.,"Use the STAR method: Situation (e.g., high checkout drop-off rate), Task (redesign the flow to increase conversion), Action (described research, ideation, prototyping, and testing phases), Result (quantified the improvement, e.g., conversion rate increased from 30% to 65%)."
UX/UI Designer,10,What design trends are you currently following or excited about?,"I'm excited about AI in design tools, which can automate tasks and act as a creative assistant. I'm also focused on inclusive and ethical design, which considers cognitive diversity and avoids manipulative dark patterns."
UX/UI Designer,11,What is a design system and why is it valuable?,"A design system is a single source of truth containing reusable components and guidelines. Its value is in ensuring consistency, improving efficiency for designers and developers, and making products easier to scale."
UX/UI Designer,12,Explain Hick's Law and how it applies to UX design.,"Hick's Law states that the time to make a decision increases with the number of choices. In UX, we apply this by simplifying navigation, breaking down complex forms, and prioritizing calls-to-action to reduce cognitive load."
UX/UI Designer,13,What is information architecture (IA)?,"Information Architecture (IA) is the practice of organizing, structuring, and labeling content to help users find information and complete tasks. It's the blueprint of a site's structure."
UX/UI Designer,14,How do you measure the success of a design?,"By using a framework like Google's HEART: Happiness (NPS surveys), Engagement (session duration), Adoption (new user sign-ups), Retention (churn rate), and Task Success (completion rate)."
UX/UI Designer,15,What is the difference between a user flow and a user journey map?,"A user flow is a tactical diagram of the specific steps a user takes to complete a single task *within* the product. A user journey map is a strategic visualization of the user's entire experience, including emotions and touchpoints *outside* the product."
UX/UI Designer,16,Explain the concept of 'mobile-first' design.,"Mobile-first is a design strategy that starts with the smallest screen and works up. It forces prioritization of essential features and generally leads to a better, more performant experience for mobile users. It's a strategy of ""progressive enhancement""."
UX/UI Designer,17,What are dark patterns in UX? Give an example.,"Dark patterns are UI tricks designed to make users do things they didn't intend to. Example: 'Roach Motel,' where it's easy to sign up for a service but intentionally difficult to cancel."
UX/UI Designer,18,How do you decide between using a native app vs. a responsive web app?,"Choose a native app for performance and access to device features (camera, GPS). Choose a responsive web app for broad reach, lower cost, and easy updates without an app store."
UX/UI Designer,19,Tell me about a time a design failed in user testing. What did you learn?,"Use the STAR method to describe a design that tested poorly. Focus on what you learned, such as not making assumptions about user needs and the importance of testing early before development."
UX/UI Designer,20,What are your favorite design tools and why?,"My primary tool is Figma for its real-time collaboration, powerful prototyping, and excellent support for design systems. For ideation and workshops, I use digital whiteboarding tools like Miro or FigJam."
